name,normalized_name,source_name,source_system,source_ref,source_count,food_category_id,data_types,calories,protein,fat,carbs
kosher dill pickle,kosher dill pickle,"pickles, cucumber, dill or kosher dill",usda,324653,1,11.0,foundation_food,12.0,0.48,0.43,1.99
manzanilla olive,manzanilla olive,"olives, green, manzanilla, stuffed with pimiento",usda,332791,1,9.0,foundation_food,130.0,1.15,12.9,4.96
marinara sauce,marinara sauce,"sauce, pasta, spaghetti/marinara, ready-to-serve",usda,332282,1,6.0,foundation_food,45.0,1.41,1.48,8.05
milk 1%,milk 1%,"milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d",usda,322228,2,1.0,foundation_food,43.0,3.38,0.95,5.18
milk 2%,milk 2%,"milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d",usda,321359,2,1.0,foundation_food,50.0,3.36,1.9,4.9
mozzarella cheese,mozzarella cheese,"cheese, mozzarella, low moisture, part-skim",usda,329370,1,1.0,foundation_food,298.0,23.7,20.4,4.44
navel orange,navel orange,"oranges, raw, navels",usda,327501,2,9.0,foundation_food,47.0,0.91,0.15,11.8
nectarine,nectarine,"nectarines, raw",usda,327357,1,9.0,foundation_food,39.0,1.06,0.28,9.18
nonfat yogurt,nonfat yogurt,"yogurt, greek, plain, nonfat",usda,330137,2,1.0,foundation_food,72.0,9.18,0.26,7.92
oatmeal cookie,oatmeal cookie,"cookies, oatmeal, soft, with raisins",usda,333008,1,18.0,foundation_food,430.0,5.79,14.3,69.6
onion ring frozen,onion ring frozen,"onion rings, breaded, par fried, frozen, prepared, heated in oven",usda,324317,1,11.0,foundation_food,288.0,4.52,14.4,36.3
parmesan cheese,parmesan cheese,"cheese, parmesan, grated",usda,325036,1,1.0,foundation_food,421.0,29.6,28.0,12.4
pollock,pollock,"fish, pollock, raw",usda,333476,1,15.0,foundation_food,56.0,12.3,0.41,0.0
queso seco cheese,queso seco cheese,"cheese, dry white, queso seco",usda,329830,2,1.0,foundation_food,326.0,24.5,24.3,2.07
red carrot frozen,red carrot frozen,"carrots, frozen, unprepared",usda,326458,2,11.0,foundation_food,37.0,0.81,0.47,7.92
red delicious apple,red delicious apple,"apples, red delicious, with skin, raw",usda,1105430,1,9.0,foundation_food,62.0,0.19,0.21,14.8
red onion,red onion,"onions, red, raw",usda,790577,1,11.0,foundation_food,44.0,0.94,0.1,9.93
red tomato canned,red tomato canned,"tomatoes, canned, red, ripe, diced",usda,333281,1,11.0,foundation_food,18.0,0.84,0.5,3.32
rice flour,rice flour,"flour, rice, white, unenriched",usda,790214,3,20.0,foundation_food,360.75,6.94,2.1,78.47
ricotta cheese,ricotta cheese,"cheese, ricotta, whole milk",usda,323444,2,1.0,foundation_food,157.0,7.81,11.0,6.86
romaine lettuce,romaine lettuce,"lettuce, cos or romaine, raw",usda,327923,2,11.0,foundation_food,17.0,1.24,0.26,3.24
salsa,salsa,"sauce, salsa, ready-to-serve",usda,324038,2,6.0,foundation_food,29.0,1.44,0.19,6.74
skim milk,skim milk,"milk, nonfat, fluid, with added vitamin a and vitamin d",usda,322559,2,1.0,foundation_food,34.0,3.43,0.08,4.9
smooth peanut butter,smooth peanut butter,"peanut butter, smooth style, with salt",usda,324860,1,16.0,foundation_food,597.0,22.5,51.1,22.3
soy flour,soy flour,"flour, soy, defatted",usda,1104705,2,16.0,foundation_food,409.0,44.85,12.02,30.4
strawberry,strawberry,"strawberries, raw",usda,327699,2,9.0,foundation_food,31.0,0.64,0.22,7.63
sunflower seeds,sunflower seeds,"seeds, sunflower seed kernels, dry roasted, with salt added",usda,325524,1,12.0,foundation_food,612.0,21.0,56.1,17.1
swiss cheese,swiss cheese,"cheese, swiss",usda,326135,2,1.0,foundation_food,393.0,27.0,31.0,1.44
tuna canned,tuna canned,"fish, tuna, light, canned in water, drained solids",usda,334194,1,15.0,foundation_food,90.0,19.0,0.94,0.08
turkey ground,turkey ground,"turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",usda,330869,2,5.0,foundation_food,220.0,27.1,11.6,0.0
white bread,white bread,"bread, white, commercially prepared",usda,325871,1,18.0,foundation_food,270.0,9.43,3.59,49.2
white grapefruit juice canned,white grapefruit juice canned,"grapefruit juice, white, canned or bottled, unsweetened",usda,325287,1,9.0,foundation_food,37.0,0.55,0.7,7.59
white onion,white onion,"onions, white, raw",usda,1104962,1,11.0,foundation_food,35.0,0.89,0.13,7.68
whole milk,whole milk,"milk, whole, 3.25% milkfat, with added vitamin d",usda,322892,2,1.0,foundation_food,60.0,3.28,3.2,4.65
whole wheat bread,whole wheat bread,"bread, whole-wheat, commercially prepared",usda,335240,1,18.0,foundation_food,254.0,12.3,3.55,43.1
whole wheat flour,whole wheat flour,"flour, whole wheat, unenriched",usda,790085,1,20.0,foundation_food,370.0,15.1,2.73,71.2
yellow mustard,yellow mustard,"mustard, prepared, yellow",usda,326698,1,2.0,foundation_food,61.0,4.25,3.38,5.3
yellow onion,yellow onion,"onions, yellow, raw",usda,790646,1,11.0,foundation_food,38.0,0.83,0.05,8.61
yellow peach,yellow peach,"peaches, yellow, raw",usda,325430,1,9.0,foundation_food,42.0,0.91,0.27,10.1
